date,timestamp,ticker,action,price,raw_snippet,msg_id
2022-07-22,2022-07-22T23:58:46.557-04:00,SNOW,OPEN,11.0,$SNOW 16SEP 130P @ $11,1000250598991605852
2022-07-25,2022-07-25T19:38:38.829-04:00,TTD,OPEN,3.7,$TTD 19AUG 45P @ $3.70,1001272299032432650
2022-09-12,2022-09-12T01:56:03.536-04:00,ENVX,OPEN,2.3,$ENVX 21OCT 22.5C @ $2.30,1018761895366373416
2022-09-12,2022-09-12T01:59:29.721-04:00,U,OPEN,1.4,$U 22SEP 44C @ $1.4,1018762760168931338
2022-09-12,2022-09-12T02:02:53.961-04:00,XOM,OPEN,1.45,$XOM 21OCT 105C @ $1.45,1018763616813588522
2022-09-12,2022-09-12T02:23:07.46-04:00,NVDA,OPEN,3.92,$NVDA 16DEC 100P @ $3.92,1018768706597310544
2022-09-12,2022-09-12T02:23:07.46-04:00,NVDA,OPEN,154.0,Below 140 I cannot be bullish on $NVDA but the better short entry is 150-154 if it trades,1018768706597310544
2022-09-23,2022-09-23T18:29:23.546-04:00,FXI,OPEN,0.41,$FXI 30SEP 27.5C @ $0.41,1022998142448320623
2022-09-25,2022-09-25T23:22:33.826-04:00,KMX,OPEN,9.25,$KMX 18NOV 80C @ $9.25,1023796697161281636
2022-09-29,2022-09-29T00:07:21.363-04:00,TLT,OPEN,115.0,Timing:  Safer to buy time into January but bond market bulls are bullish at some point between now and 18NOV when $TLT is expected to reach 110-115 target from today's 104.,1024895133105279017
2022-09-29,2022-09-29T00:07:21.363-04:00,NFLX,OPEN,17.7,$NFLX 20JAN 250/300C@ 17.7,1024895133105279017
2022-09-29,2022-09-29T00:07:21.363-04:00,NFLX,OPEN,8.0,$NFLX 18NOV 250/270@ $8,1024895133105279017
2022-10-23,2022-10-23T14:08:48.158-04:00,EWZ,OPEN,34.8,$EWZ cup and handle broke out Friday. We should see some resistance as we approach the first Fibonacci level @ 34.80.,1033804198845874187
2022-10-23,2022-10-23T14:38:23.675-04:00,ZS,OPEN,147.25,$ZS has a good reaction last week to its weekly 200sma @ 147.25.,1033811645903941852
2022-10-23,2022-10-23T14:38:23.675-04:00,TNX,OPEN,170.0,Thinking if $TNX begins to roll down temporarily into midterms we could get a great counter trend bounce back to 167-170 area.,1033811645903941852
2022-11-17,2022-11-17T19:21:48.683-05:00,ENPH,OPEN,5.3,$ENPH 16DEC 370C @ 5.3,1042957766211416145
2022-11-17,2022-11-17T19:40:57.429-05:00,LMT,OPEN,1.15,$LMT 25NOV 492.5C @ $1.15,1042962584401367090
