date,timestamp,ticker,action,price,raw_snippet,msg_id
2023-01-08,2023-01-08T19:55:12.721-05:00,JPM,OPEN,340.0,$JPM is the clear relative strength leader amongst $XLF large caps. However for new entry I like the idea of buying $GS since it's closer to a potential support @ 340 so our risk reward is much better,1061810340767211620
2023-01-08,2023-01-08T19:55:12.721-05:00,XLF,OPEN,340.0,$JPM is the clear relative strength leader amongst $XLF large caps. However for new entry I like the idea of buying $GS since it's closer to a potential support @ 340 so our risk reward is much better,1061810340767211620
2023-01-08,2023-01-08T19:55:12.721-05:00,GS,OPEN,340.0,$JPM is the clear relative strength leader amongst $XLF large caps. However for new entry I like the idea of buying $GS since it's closer to a potential support @ 340 so our risk reward is much better,1061810340767211620
2023-01-08,2023-01-08T19:55:12.721-05:00,JPM,OPEN,340.0,$JPM is the clear relative strength leader amongst $XLF large caps. However for new entry I like the idea of buying $GS since it's closer to a potential support @ 340 so our risk reward is much better,1061810340767211620
2023-01-08,2023-01-08T20:49:44.472-05:00,MRVL,OPEN,3.0,$MRVL 17MAR 37.5C @ $3,1061824063485513748
2023-05-16,2023-05-16T00:17:27.753-04:00,EWJ,ADD,,$EWJ can be a painstakingly boring trade for options but I'm adding to my long term buy and hold portfolio if you'd like to join. If there's a market that's in a position to outperform $SPY this could,1107884497711661097
2023-05-16,2023-05-16T00:17:27.753-04:00,SPY,ADD,,$EWJ can be a painstakingly boring trade for options but I'm adding to my long term buy and hold portfolio if you'd like to join. If there's a market that's in a position to outperform $SPY this could,1107884497711661097
2023-05-16,2023-05-16T00:17:27.753-04:00,EWJ,OPEN,0.33,$EWJ 16JUN 62C @ 0.33 that's up a bit but still out of the money. Think these contracts are good to try out and get a feel for how the options trade.,1107884497711661097
2023-05-22,2023-05-22T09:04:47.984-04:00,AMD,CLOSE,,Last week $AMD closed above the prior swing high of 102.43,1110191533652709427
2023-06-01,2023-06-01T04:44:17.219-04:00,NFLX,OPEN,1.64,$NFLX 2JUN 410C @ $1.64,1113749852128563230
2023-06-16,2023-06-16T01:12:29.089-04:00,VEEV,CLOSE,,$VEEV broke out today closing over the post earnings high of 200.44!,1119132368352063601
2023-08-30,2023-08-30T01:51:41.691-04:00,CAT,OPEN,15.0,$CAT 15SEP 285C @ $3.2,1146321325800030310
2023-08-30,2023-08-30T01:51:41.691-04:00,CAT,OPEN,17.0,$CAT 17NOV 310C @ $4.25,1146321325800030310
2023-10-09,2023-10-09T04:05:07.447-04:00,TSLA,OPEN,7.75,$TSLA 20OCT 270C @ $7.75,1160850418998452284
2023-10-15,2023-10-15T15:55:20.61-04:00,NVDA,CLOSE,,UPDATE: $NVDA all targets were met in time and price.  We also took trades in $MSFT from this list and all of its targets were met in time and price along with $META 328 $AVGO 888 to 920.  Trades are ,1163203478752067685
2023-10-15,2023-10-15T15:55:20.61-04:00,MSFT,CLOSE,,UPDATE: $NVDA all targets were met in time and price.  We also took trades in $MSFT from this list and all of its targets were met in time and price along with $META 328 $AVGO 888 to 920.  Trades are ,1163203478752067685
2023-10-15,2023-10-15T15:55:20.61-04:00,META,CLOSE,,UPDATE: $NVDA all targets were met in time and price.  We also took trades in $MSFT from this list and all of its targets were met in time and price along with $META 328 $AVGO 888 to 920.  Trades are ,1163203478752067685
2023-10-15,2023-10-15T15:55:20.61-04:00,AVGO,CLOSE,,UPDATE: $NVDA all targets were met in time and price.  We also took trades in $MSFT from this list and all of its targets were met in time and price along with $META 328 $AVGO 888 to 920.  Trades are ,1163203478752067685
2023-11-13,2023-11-13T23:39:50.425-05:00,AVGO,OPEN,,Ultimately it’s about risk to reward and risk tolerance. I’m fine buying a breakout like $AVGO because when they work the payout is fairly large and instant but I will say buying before the breakout t,1173844720825409578
2023-11-14,2023-11-14T00:10:13.241-05:00,TSLA,CLOSE,,Big day today as $TSLA closed above the downtrend completing an inverse head and shoulders setup. We’ll likely start to see a lot of this patterns playing out in many different tickers. Success is usu,1173852366269853737
2023-11-16,2023-11-16T23:50:22.138-05:00,GLD,OPEN,2.3,$GLD 15DEC 185C @ $2.3,1174934534018576435
2024-02-16,2024-02-16T02:19:01.587-05:00,META,OPEN,5.25,$META 1MAR 500C @ 5.25 + Macro chart analysis that makes the case for buying LEAPS,1207949240668786689
2024-02-16,2024-02-16T02:19:01.587-05:00,META,OPEN,9.0,$META 21JUN 600c @ $9,1207949240668786689
2024-06-17,2024-06-17T12:22:33.247-04:00,CRWD,ADD,,$CRWD is in a break out after the announcement of being added to the S&P.,1252297343487971328
2024-06-17,2024-06-17T12:22:33.247-04:00,CRWD,OPEN,9.0,$CRWD 28JUN 390c @ 9,1252297343487971328
2024-06-17,2024-06-17T12:22:33.247-04:00,CRWD,OPEN,12.0,$CRWD 19JUL 400c @ 12,1252297343487971328
2024-07-01,2024-07-01T15:03:43.029-04:00,DELL,OPEN,11.8,$DELL 18OCT 150c @ 11.8 - core hold,1257411331611562094
2024-07-01,2024-07-01T15:03:43.029-04:00,DELL,OPEN,3.2,$DELL 19JUL 150C @ 3.2 - higher risk/reward.,1257411331611562094
2024-08-07,2024-08-07T02:10:02.962-04:00,META,OPEN,8.0,$META 20SEP 530C @ $8 ( attempting to get filled @ $8 with current volatility but $9-$10 may be more realistic),1270624982766063690
2024-09-14,2024-09-14T07:04:21.568-04:00,LW,OPEN,2.0,$LW 18OCT 70C @ 2,1284469787220774995
2024-09-19,2024-09-19T02:12:14.406-04:00,CVNA,OPEN,,It's hard to believe we first bought $CVNA when it was in the single digits.,1286208212302958654
2024-09-19,2024-09-19T02:12:14.406-04:00,CVNA,OPEN,3.45,We initiated a starter position during today's trading session in the $CVNA 4OCT 175c @ 3.45 but I also like,1286208212302958654
2024-09-22,2024-09-22T23:55:20.406-04:00,META,OPEN,8.0,$META UPDATE: the 20SEP 530c @ $8 ended up finishing @ $34.,1287623311752171592
2024-09-23,2024-09-23T05:01:01.614-04:00,GOOGL,OPEN,3.2,$GOOGL 18OCT 165C @ 3.2,1287700240354246689
2024-09-23,2024-09-23T05:01:01.614-04:00,GOOGL,OPEN,1.45,$GOOGL 1/17/2025 200c @ 1.45 *CORE POSITION*,1287700240354246689
2024-09-27,2024-09-27T03:08:17.493-04:00,ADI,OPEN,9.0,$ADI 1/17/2025 250C @ $9,1289121421036879894
2024-10-01,2024-10-01T02:20:50.622-04:00,ISRG,ADD,,I like but don't love this particular setup mainly because of the break out level being so close to the psych 500 level but with earnings coming up we could see $ISRG breakout and rally into the print,1290559031856988250
2024-10-13,2024-10-13T23:37:49.139-04:00,GS,CLOSE,,$GS closed the week at a new all time closing high mirroring what could be a possible rotation into $IWM.,1295229047596515439
