date,timestamp,ticker,action,price,tag,raw_snippet,msg_id
2025-01-02,2025-01-02T21:44:56.049-05:00,RGTI,OPEN,,,I'm starting a side @account challenge that's compromised only of $RGTI $IONQ,1324569155805909012
2025-08-06,2025-08-06T14:04:16.499-04:00,INOD,ADD,43.0,,$INOD commons added to long term portfolio at 43 cost basis,1402713906606112950
2025-08-28,2025-08-28T12:24:38.246-04:00,SATS,ADD,,,$SATS to be added to buy and hold account for larger portfolio growth.,1410661365038710806
2025-09-09,2025-09-09T14:34:30.217-04:00,SOFI,ADD,25.9,,Adding $SOFI to our commons here at 25.90 before I forget again.,1415042701321306283
2025-09-09,2025-09-09T14:34:30.217-04:00,IREN,OPEN,30.0,,$IREN at 30 as well,1415042701321306283
2025-09-09,2025-09-09T14:56:35.495-04:00,LDI,OPEN,3.22,,$LDI commons at 3.22,1415048259939864760
2025-09-15,2025-09-15T16:23:10.11-04:00,BBAI,ADD,5.11,,"Adding $BBAI commons at $5.11,",1417244374928199820
2025-09-17,2025-09-17T10:54:46.966-04:00,RZLV,OPEN,7.12,,$RZLV @ $7.12,1417886509683703890
2025-09-17,2025-09-17T11:05:03.252-04:00,INOD,OPEN,43.0,RECAP,$INOD - 43  (100% gain achieved) (remaining half of position closed at 83),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,INOD,CLOSE,83.0,RECAP,$INOD - 43  (100% gain achieved) (remaining half of position closed at 83),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,SOFI,OPEN,25.9,RECAP,$SOFI - 25.90,1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,LDI,OPEN,3.22,RECAP,$LDI - 3.22 ( closing @ 2.3 ),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,LDI,CLOSE,2.3,RECAP,$LDI - 3.22 ( closing @ 2.3 ),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,IREN,OPEN,30.0,RECAP,$IREN - 30 (100% gain achieved),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,RGTI,OPEN,19.0,RECAP,$RGTI - 19 (100% gain achieved) (full position closed out at 40 and 45),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,RGTI,TRIM,40.0,RECAP,$RGTI - 19 (100% gain achieved) (full position closed out at 40 and 45),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,RGTI,CLOSE,45.0,RECAP,$RGTI - 19 (100% gain achieved) (full position closed out at 40 and 45),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,BBAI,OPEN,5.11,RECAP,"$BBAI - 5.11 (2x weighting) (1/2 position closed @ 4.07, back to equal weight)",1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,BBAI,CLOSE,4.07,RECAP,"$BBAI - 5.11 (2x weighting) (1/2 position closed @ 4.07, back to equal weight)",1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,RZLV,OPEN,7.12,RECAP,$RZLV - $7.12 ( closing position @ $5.36 ),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,RZLV,CLOSE,5.36,RECAP,$RZLV - $7.12 ( closing position @ $5.36 ),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,NB,OPEN,8.83,RECAP,$NB - $8.83 ( closing @ $6.36 - replacing with $MP ),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,NB,CLOSE,6.36,RECAP,$NB - $8.83 ( closing @ $6.36 - replacing with $MP ),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,MP,CLOSE,6.36,RECAP,$NB - $8.83 ( closing @ $6.36 - replacing with $MP ),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,AMPX,OPEN,10.33,RECAP,"$AMPX - $10.33 (closing 1/2 @ 10.33 for 77%, stop @ 15 for remaining position) (stop was hit. Adding back @ $15.44)",1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,AMPX,TRIM,15.0,RECAP,"$AMPX - $10.33 (closing 1/2 @ 10.33 for 77%, stop @ 15 for remaining position) (stop was hit. Adding back @ $15.44)",1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,AMPX,CLOSE,15.44,RECAP,"$AMPX - $10.33 (closing 1/2 @ 10.33 for 77%, stop @ 15 for remaining position) (stop was hit. Adding back @ $15.44)",1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,INTC,OPEN,33.55,RECAP,$INTC - $33.55 (closing 1/2 @ $82.55 +150%),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,INTC,CLOSE,82.55,RECAP,$INTC - $33.55 (closing 1/2 @ $82.55 +150%),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,RXRX,OPEN,6.0,RECAP,$RXRX - $6 ( closing @ $4.18 ),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,RXRX,CLOSE,4.18,RECAP,$RXRX - $6 ( closing @ $4.18 ),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,NVTS,OPEN,9.98,RECAP,$NVTS - $9.98 ( closing 1/2 $NVTS @ 20.87 for just over 100% ),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,NVTS,CLOSE,20.87,RECAP,$NVTS - $9.98 ( closing 1/2 $NVTS @ 20.87 for just over 100% ),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,PATH,OPEN,16.75,RECAP,$PATH - $16.75,1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,SEI,OPEN,50.0,RECAP,$SEI - 50,1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,MP,OPEN,64.76,RECAP,$MP - 64.76 (half sized- will add other half if 65 is held or on a pullback to 57) (position now full sized),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,SNDK,OPEN,667.0,RECAP,$SNDK - $667,1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,AXTI,OPEN,44.75,RECAP,$AXTI - $44.75 (1/2 out @ 98.60 for 120%),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,AXTI,CLOSE,98.6,RECAP,$AXTI - $44.75 (1/2 out @ 98.60 for 120%),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,INFQ,OPEN,13.0,RECAP,$INFQ - $13 (S/L: 12),1417889094574407912
2025-09-17,2025-09-17T11:05:03.252-04:00,TE,OPEN,7.4,RECAP,$TE - $7.40,1417889094574407912
2025-09-17,2025-09-17T15:54:59.082-04:00,AMPX,OPEN,10.33,,$AMPX @ $10.33,1417962057973760122
