ts,ticker,strike,expiration,option_type,volume,oi,vol_oi,last_price,side,sentiment,notional,spot,conviction,signal,regime,is_sweep,sweep_side,sweep_notional,sweep_venues,macro_regime_tag
1777383022,SPX,7105.0,2026-04-28,put,2687,798.0,3.4,2.95,BID,BULLISH,792665.0,7135.92,LOW,MAGNET UP,POS,0,,,,HARD
1777383022,SPX,7115.0,2026-04-28,put,3000,855.0,3.5,3.74,BID,BULLISH,1122000.0,7135.92,LOW,MAGNET UP,POS,0,,,,HARD
1777383022,SPX,7140.0,2026-04-28,call,1269,598.0,2.1,40.82,ASK,BULLISH,5180058.0,7135.92,MEDIUM,MAGNET UP,POS,0,,,,HARD
1777383022,SPX,7145.0,2026-04-28,call,1568,422.0,3.7,37.0,ASK,BULLISH,5801600.0,7135.92,MEDIUM,MAGNET UP,POS,0,,,,HARD
1777383022,SPX,7150.0,2026-04-28,call,2239,760.0,2.9,33.0,ASK,BULLISH,7388700.0,7135.92,HIGH,MAGNET UP,POS,0,,,,HARD
1777383022,SPX,7160.0,2026-04-28,call,2908,995.0,2.9,25.38,ASK,BULLISH,7380504.0,7135.92,HIGH,MAGNET UP,POS,0,,,,HARD
1777383022,SPX,7165.0,2026-04-28,call,3659,972.0,3.8,21.98,ASK,BULLISH,8042482.0,7135.92,HIGH,MAGNET UP,POS,0,,,,HARD
1777383022,SPX,7170.0,2026-04-28,call,4544,1347.0,3.4,18.8,ASK,BULLISH,8542720.0,7135.92,HIGH,MAGNET UP,POS,0,,,,HARD
1777383022,SPX,7175.0,2026-04-28,call,5808,2145.0,2.7,15.97,ASK,BULLISH,9275376.0,7135.92,HIGH,MAGNET UP,POS,0,,,,HARD
1777383022,SPX,7185.0,2026-04-28,call,3571,1199.0,3.0,11.02,ASK,BULLISH,3935242.0,7135.92,MEDIUM,MAGNET UP,POS,0,,,,HARD
1777383022,SPX,7195.0,2026-04-28,call,3037,859.0,3.5,7.17,ASK,BULLISH,2177529.0,7135.92,MEDIUM,MAGNET UP,POS,0,,,,HARD
1777383022,SPX,7005.0,2026-04-30,put,614,202.0,3.0,6.72,MID,NEUTRAL,412608.0,7135.92,LOW,MAGNET UP,POS,0,,,,HARD
1777383212,NVDA,210.0,2026-05-15,call,121,113615.0,,7.3,NEUTRAL,NEUTRAL,88835.0,216.61,SWEEP,MAGNET UP,POS,1,NEUTRAL,88835.0,1.0,HARD
1777383279,SPX,7135.0,2026-04-28,call,1487,334.0,4.5,18.0,ASK,BULLISH,2676600.0,7137.28,MEDIUM,MAGNET UP,POS,0,,,,HARD
1777383279,SPX,7150.0,2026-04-28,put,2400,1920.0,1.2,21.85,ASK,BEARISH,5244000.0,7137.28,MEDIUM,MAGNET UP,POS,0,,,,HARD
