fl0w_post,fl0w_datetime,ticker,strike,expiration,option_type,premium_fl0w,verdict,db_rows,db_ticker_rows_in_window,matched_conviction,matched_sentiment,matched_notional,matched_is_sweep,matched_signal,note
/FL0WG0D/status/2054639269231161786,2026-05-13T19:05:49Z,FCEL,30,2026-06-18,call,370000,OUT-OF-CHAIN,0,15,,,,,,"FCEL 30 Call exp 06/18/26, +76.32% on the day"
/FL0WG0D/status/2054638969304842356,2026-05-13T19:04:38Z,FCEL,20,2026-05-22,call,150000,OUT-OF-CHAIN,0,15,,,,,,FCEL 20 Call exp 05/22/26 â€” visible in screenshot
/FL0WG0D/status/2054635964811612559,2026-05-13T18:52:41Z,PYPL,47.5,2026-05-22,call,99000,MISSED-NO-TICKER,0,0,,,,,,PYPL 47.5 Call exp 05/22/26
/FL0WG0D/status/2054629134622392476,2026-05-13T18:25:33Z,AAPL,,,call,1300000,CAUGHT,712,837,MEDIUM,BULLISH,582465.0,0,PINNING,"AAPL call aggregate, strike/exp unspecified in text"
/FL0WG0D/status/2054624689276801519,2026-05-13T18:07:53Z,KEEL,7.5,2026-08-21,call,342700,OUT-OF-UNIVERSE,0,0,,,,,,KEEL 7.5 Call exp 08/21/26
/FL0WG0D/status/2054620501679517787,2026-05-13T17:51:15Z,FRMI,,,call,146000,OUT-OF-UNIVERSE,0,0,,,,,,FRMI deep-OTM call â€” 169% OTM
/FL0WG0D/status/2054620169004007639,2026-05-13T17:49:55Z,MBLY,,,call,1100000,WRONG-SIDE-LOW,7,7,LOW,NEUTRAL,426560.0,0,MAGNET UP,
/FL0WG0D/status/2054597903549661452,2026-05-13T16:21:27Z,NOK,,,call,238000,CAUGHT,308,357,HIGH,BULLISH,3828330.0,0,MAGNET UP,
/FL0WG0D/status/2054589462043058547,2026-05-13T15:47:54Z,NXE,,,call,977000,OUT-OF-UNIVERSE,0,0,,,,,,
/FL0WG0D/status/2054586709493313954,2026-05-13T15:36:58Z,MP,,,call,502000,WRONG-SIDE-LOW,13,33,LOW,NEUTRAL,730368.0,0,MAGNET UP,
/FL0WG0D/status/2054585692697583833,2026-05-13T15:32:56Z,FLR,65,2027-01-15,call,1400000,CAUGHT,19,31,HIGH,BULLISH,1350810.0,0,MAGNET UP,FLR 65 Call exp 01/15/27 â€” LEAP
/FL0WG0D/status/2054584482070458493,2026-05-13T15:28:07Z,TTD,25,2026-12-18,call,874000,OUT-OF-UNIVERSE,0,0,,,,,,TTD 25 Call exp 12/18/26
/FL0WG0D/status/2054571506877763768,2026-05-13T14:36:33Z,RR,4,2026-09-18,call,309000,OUT-OF-UNIVERSE,0,0,,,,,,RR 4 Call exp 09/18/26
/FL0WG0D/status/2054571404922585452,2026-05-13T14:36:09Z,NOK,17,2026-10-16,call,600000,CAUGHT,5,70,HIGH,BULLISH,2822030.0,0,MAGNET UP,NOK 17 Call exp 10/16/26
/FL0WG0D/status/2054570558453342518,2026-05-13T14:32:47Z,INTC,121,,call,2100000,WRONG-SIDE,39,550,MEDIUM,NEUTRAL,4098680.0,0,MAGNET UP,"INTC 121 Call â€” saw $6.63 ATM, post-AAPL deal momentum"
/FL0WG0D/status/2054570238184652905,2026-05-13T14:31:31Z,LUMN,10,2026-06-05,call,180000,OUT-OF-UNIVERSE,0,0,,,,,,LUMN 10 Call exp 06/05/26
/FL0WG0D/status/2054569566194348341,2026-05-13T14:28:51Z,TOST,25,2026-09-18,call,405000,OUT-OF-UNIVERSE,0,0,,,,,,TOST 25 Call exp 09/18/26
/FL0WG0D/status/2054567938921804229,2026-05-13T14:22:23Z,SONY,27.5,2026-10-16,call,195000,OUT-OF-UNIVERSE,0,0,,,,,,SONY 27.5 Call exp 10/16/26
/FL0WG0D/status/2054564854808117347,2026-05-13T14:10:08Z,HPE,,,call,169000,CAUGHT,16,16,MEDIUM,BULLISH,378120.0,0,MAGNET UP,
/FL0WG0D/status/2054558111097028867,2026-05-13T13:43:20Z,ON,,,call,1300000,CAUGHT,55,73,MEDIUM,BULLISH,2289725.0,0,MAGNET UP,
/FL0WG0D/status/2054555967572824225,2026-05-13T13:34:49Z,SEDG,50,2026-10-16,call,523000,WRONG-SIDE-LOW,18,18,LOW,BEARISH,845185.0,0,MAGNET FADE,SEDG 50 Call exp 10/16/26
/FL0WG0D/status/2054551004339704143,2026-05-13T13:15:05Z,SPY,745,2026-05-18,call,2100000,CAUGHT,29,7295,MEDIUM,BULLISH,1069485.0,0,MAGNET FADE,OI-confirmed summary
/FL0WG0D/status/2054551004339704143,2026-05-13T13:15:05Z,SLV,79,2026-05-22,call,1800000,CAUGHT,3,462,HIGH,BULLISH,1914255.0,0,MAGNET UP,OI-confirmed summary
/FL0WG0D/status/2054551004339704143,2026-05-13T13:15:05Z,AA,70,2026-06-18,call,2800000,OUT-OF-CHAIN,0,12,,,,,,OI-confirmed summary
/FL0WG0D/status/2054551004339704143,2026-05-13T13:15:05Z,FCEL,19,2026-06-26,call,5900000,MISSED-NO-TICKER,0,0,,,,,,OI-confirmed summary
/FL0WG0D/status/2054551004339704143,2026-05-13T13:15:05Z,MU,1020,2026-09-18,call,6400000,WRONG-SIDE,2,4681,MEDIUM,NEUTRAL,6746125.0,0,MAGNET UP,OI-confirmed summary
