fire_id,ticker,day,fire_hhmm,direction,tier,status,n_trades,total_volume,cvd_lee_ready,cvd_tick_rule_tick,cvd_bar_proxy,lr_tr_agreement_pct,diff_lr_minus_tr,diff_lr_minus_bar,opt_eod_pnl,opt_mfe
2026-04-14_SPY_10:06_BEARISH,SPY,2026-04-14,10:06,BEARISH,A,ok,2872,202571.0,-2543.0,2151.0,80368.0,71.13509749303621,-4694.0,-82911.0,-99.20634920634922,0.0
2026-04-14_QQQ_10:10_BEARISH,QQQ,2026-04-14,10:10,BEARISH,A,ok,1567,115079.0,3867.0,7485.0,10285.0,67.58136566687939,-3618.0,-6418.0,,10.88082901554406
2026-04-16_SPY_09:52_BULLISH,SPY,2026-04-16,09:52,BULLISH,A,ok,2027,160562.0,-6134.0,-2853.0,-60237.0,69.26492353231376,-3281.0,54103.0,-25.0,116.75392670157068
2026-04-16_QQQ_09:55_BULLISH,QQQ,2026-04-16,09:55,BULLISH,A,ok,1776,94615.0,4041.0,-767.0,-44225.0,61.6554054054054,4808.0,48266.0,132.967032967033,381.21546961325976
2026-04-20_QQQ_10:12_BULLISH,QQQ,2026-04-20,10:12,BULLISH,B,ok,1195,79441.0,22187.0,6491.0,4791.0,59.163179916317986,15696.0,17396.0,-94.66666666666669,16.053511705685608
2026-04-21_SPY_10:53_BEARISH,SPY,2026-04-21,10:53,BEARISH,B,ok,1749,128659.0,-12629.0,6493.0,-35575.0,66.26643796455117,-19122.0,22946.0,320.4918032786885,379.0123456790124
2026-04-21_QQQ_10:26_BEARISH,QQQ,2026-04-21,10:26,BEARISH,A,ok,1353,73787.0,425.0,-4879.0,456.0,67.47967479674797,5304.0,-31.0,275.83892617449663,326.2626262626263
2026-04-22_SPY_10:14_BEARISH,SPY,2026-04-22,10:14,BEARISH,B,ok,1796,104952.0,4690.0,5278.0,12534.0,67.0935412026726,-588.0,-7844.0,-93.19727891156462,9.55631399317407
2026-04-22_QQQ_09:57_BULLISH,QQQ,2026-04-22,09:57,BULLISH,B,ok,1031,52800.0,-1188.0,-1922.0,681.0,60.23278370514063,734.0,-1869.0,200.9950248756219,212.75
2026-04-22_QQQ_10:07_BEARISH,QQQ,2026-04-22,10:07,BEARISH,A,ok,1445,87531.0,-15075.0,-2809.0,36167.0,65.25951557093425,-12266.0,-51242.0,-98.77300613496932,0.0
2026-04-23_SPY_10:10_BULLISH,SPY,2026-04-23,10:10,BULLISH,A,ok,2241,136924.0,-10704.0,-10006.0,24615.0,66.53279785809906,-698.0,-35319.0,-93.87755102040816,78.4982935153584
2026-04-23_SPY_13:01_BULLISH,SPY,2026-04-23,13:01,BULLISH,B,ok,855,46757.0,-9101.0,3169.0,2439.0,67.48538011695906,-12270.0,-11540.0,-96.34146341463416,0.0
2026-04-23_QQQ_13:07_BULLISH,QQQ,2026-04-23,13:07,BULLISH,A,ok,1200,74973.0,19159.0,-3831.0,-18430.0,64.66666666666666,22990.0,37589.0,,3.773584905660377
2026-04-24_SPY_10:07_BEARISH,SPY,2026-04-24,10:07,BEARISH,B,ok,1933,160142.0,40012.0,14376.0,25656.0,60.78634247284015,25636.0,14356.0,-98.36065573770492,2.880658436214012
2026-04-24_SPY_10:14_BULLISH,SPY,2026-04-24,10:14,BULLISH,A,ok,2376,213313.0,95449.0,36905.0,57261.0,63.59427609427609,58544.0,38188.0,140.8536585365854,167.88990825688077
2026-04-24_QQQ_09:53_BEARISH,QQQ,2026-04-24,09:53,BEARISH,A,ok,1144,85743.0,-7807.0,-17093.0,-23803.0,59.87762237762237,9286.0,15996.0,-99.53917050691244,38.888888888888886
2026-04-24_QQQ_10:27_BEARISH,QQQ,2026-04-24,10:27,BEARISH,A,ok,1496,96917.0,2771.0,-91.0,1345.0,63.30213903743316,2862.0,1426.0,-99.5,23.425692695214128
