fire_hhmm,ticker,dir,grade,strike,right,fire_spot,entry_paid,eod_spot,eod_intrinsic,pnl_pct,category,best_intrinsic,best_pnl_pct,strike_quality,gex_signal
09:55,SPY,bull,B+,724.0,C,722.44,0.49,720.58,0.0,-100.0,WIPEOUT,0.8500000000000227,73.46938775510668,ideal,MAGNET UP
09:55,QQQ,bull,B+,675.0,C,672.86,0.64,674.1,0.0,-100.0,WIPEOUT,0.9600000000000364,50.000000000005684,ideal,MAGNET UP
10:12,QQQ,bull,B+,677.0,C,674.96,0.64,674.1,0.0,-100.0,WIPEOUT,0.0,-100.0,ideal,MAGNET UP
10:45,SPX,bull,B+,7270.0,C,7252.02,4.25,7230.1201171875,0.0,-100.0,WIPEOUT,0.0,-100.0,ideal,MAGNET UP
10:56,QQQ,bull,B+,676.0,C,673.68,0.48,674.1,0.0,-100.0,WIPEOUT,0.0,-100.0,ideal,MAGNET UP
10:58,SPX,bull,B+,7270.0,C,7252.59,3.85,7230.1201171875,0.0,-100.0,WIPEOUT,0.0,-100.0,ideal,MAGNET UP
11:19,SPX,bull,B+,7270.0,C,7252.72,3.45,7230.1201171875,0.0,-100.0,WIPEOUT,0.0,-100.0,ideal,MAGNET UP
11:37,SPX,bull,B+,7275.0,C,7257.85,2.27,7230.1201171875,0.0,-100.0,WIPEOUT,0.0,-100.0,ideal,MAGNET UP
11:37,QQQ,bull,B+,677.0,C,674.77,0.3,674.1,0.0,-100.0,WIPEOUT,0.0,-100.0,ideal,MAGNET UP
12:43,SPY,bull,B+,724.0,C,721.98,0.24,720.58,0.0,-100.0,WIPEOUT,0.0,-100.0,ideal,MAGNET UP
13:20,SPY,bull,B+,723.0,C,722.5901,0.54,720.58,0.0,-100.0,WIPEOUT,0.21000000000003638,-61.11111111110438,ideal,MAGNET UP
13:53,QQQ,bull,B+,677.0,C,675.13,0.17,674.1,0.0,-100.0,WIPEOUT,0.0,-100.0,ideal,MAGNET UP
14:30,SPY,bull,B+,722.0,C,721.96,0.59,720.58,0.0,-100.0,WIPEOUT,0.5800000000000409,-1.694915254230346,ideal,MAGNET UP
14:58,SPY,bull,B+,722.0,C,721.04,0.27,720.58,0.0,-100.0,WIPEOUT,0.5800000000000409,114.81481481482996,ideal,MAGNET UP
16:05,SPY,bull,B+,723.0,C,720.75,0.01,720.58,0.0,-100.0,WIPEOUT,,,ideal,MAGNET UP
