n_trades,n_quotes,total_volume,mean_trade_size,median_trade_size,cumulative_ofi,ofi_per_min,mean_mp_minus_mid,std_mp_minus_mid,mean_spread,std_spread,aggressor_ratio,buy_volume,sell_volume,status,fire_id,ticker,day,fire_hhmm,direction,tier,opt_eod_pnl,row_type,sample_hhmm
2872,252440,202571.0,70.53307799442896,40.0,-60536.0,-2017.8666666666666,0.0009080770295195063,0.01153216500030202,0.03721442719062018,0.042308976931848104,0.4937231884129515,100014.0,102557.0,ok,2026-04-14_SPY_10:06_BEARISH,SPY,2026-04-14,10:06,BEARISH,A,-99.20634920634922,fire,
1567,492925,115079.0,73.4390555201021,40.0,-365541.0,-12184.7,0.0004196104639605369,0.01263137875275801,0.04754203986407474,0.02082922122244538,0.5168015015771774,59473.0,55606.0,ok,2026-04-14_QQQ_10:10_BEARISH,QQQ,2026-04-14,10:10,BEARISH,A,,fire,
2027,228296,160562.0,79.21164282190429,44.0,35397.0,1179.9,-0.0011345700923718,0.08172348519843178,0.04377198899674199,0.23405431038798913,0.4808983445647164,77214.0,83348.0,ok,2026-04-16_SPY_09:52_BULLISH,SPY,2026-04-16,09:52,BULLISH,A,-25.0,fire,
1776,495892,94615.0,53.274211711711715,40.0,-107570.0,-3585.6666666666665,-0.000243152783672958,0.05715266419169085,0.06584693844627326,0.20543590369100861,0.5213549648575807,49328.0,45287.0,ok,2026-04-16_QQQ_09:55_BULLISH,QQQ,2026-04-16,09:55,BULLISH,A,132.967032967033,fire,
1195,639008,79441.0,66.47782426778242,40.0,-108082.0,-3602.733333333333,8.192852893580145e-05,0.012673181145999718,0.048340099028493316,0.020888114097642158,0.6396445160559409,50814.0,28627.0,ok,2026-04-20_QQQ_10:12_BULLISH,QQQ,2026-04-20,10:12,BULLISH,B,-94.66666666666669,fire,
1749,188684,128659.0,73.56146369353917,40.0,-75064.0,-2502.133333333333,-0.00022081779099278434,0.009631692361405684,0.03582094931207675,0.01535223973845937,0.45092065071234816,58015.0,70644.0,ok,2026-04-21_SPY_10:53_BEARISH,SPY,2026-04-21,10:53,BEARISH,B,320.4918032786885,fire,
1353,491244,73787.0,54.53584626755359,40.0,178044.0,5934.8,-0.0008325403476376973,0.009492684909581564,0.039201863025299585,0.01471913698003222,0.5028799110954504,37106.0,36681.0,ok,2026-04-21_QQQ_10:26_BEARISH,QQQ,2026-04-21,10:26,BEARISH,A,275.83892617449663,fire,
1796,195333,104952.0,58.43652561247216,40.0,-324663.0,-10822.1,-0.00012329326645376908,0.01109596115630277,0.04230713704289512,0.01752166990345135,0.5223435475264883,54821.0,50131.0,ok,2026-04-22_SPY_10:14_BEARISH,SPY,2026-04-22,10:14,BEARISH,B,-93.19727891156462,fire,
1031,622325,52800.0,51.21241513094083,40.0,-252504.0,-8416.8,-2.893883142605921e-05,0.023764751346222867,0.06086006507853556,0.0648051959879525,0.48875,25806.0,26994.0,ok,2026-04-22_QQQ_09:57_BULLISH,QQQ,2026-04-22,09:57,BULLISH,B,200.9950248756219,fire,
1445,599032,87531.0,60.57508650519031,40.0,-104217.0,-3473.9,0.0005640468275529624,0.01165899094490861,0.045346425566580056,0.023288840904449774,0.4138876512321349,36228.0,51303.0,ok,2026-04-22_QQQ_10:07_BEARISH,QQQ,2026-04-22,10:07,BEARISH,A,-98.77300613496932,fire,
