ticker,day,direction,entry_ts,entry_hhmm,entry_spot,strike,right,entry_ask,entry_mid,tp1_hit,tp1_t,tp1_price,tp2_hit,tp2_t,tp2_price,ema_add_hit,ema_add_t,ema_add_ask,stopped_out,stop_t,exit_kind,exit_t,exit_price,realized_pct,mfe_pct,pml,pmh,trigger_meta
SPY,2026-03-31,BEARISH,1774964700,09:45,639.260009765625,639,P,2.22,2.21,False,,,False,,,False,,,True,12:26,STOP,12:26,0.65,-70.72072072072073,13.288288288288275,631.97,640.17,"{'touch_bar_hhmm': '13:35', 'touch_bar_low_or_high': 639.9099731445312, 'confirmed': True, 'ema8': 639.6547746069638, 'ema21': 639.701233414579, 'trend_ok': True}"
QQQ,2026-03-31,BEARISH,1774964700,09:45,565.0999755859375,565,P,2.26,2.255,False,,,False,,,False,,,True,12:25,STOP,12:25,0.59,-73.89380530973452,2.6548672566371945,557.862,565.6,"{'touch_bar_hhmm': '13:35', 'touch_bar_low_or_high': 566.1500244140625, 'confirmed': True, 'ema8': 565.8336889949846, 'ema21': 565.993373902376, 'trend_ok': True}"
SPY,2026-04-01,BEARISH,1775066400,14:00,656.7899780273438,657,P,1.16,1.1549999999999998,True,14:19,2.455,False,,,False,,,False,,TRAIL,14:42,2.15,98.49137931034484,192.67241379310346,650.34,657.5,"{'touch_bar_hhmm': '17:50', 'touch_bar_low_or_high': 657.7949829101562, 'confirmed': True, 'ema8': 657.6396696471268, 'ema21': 657.6818379941958, 'trend_ok': True}"
QQQ,2026-04-01,BEARISH,1775066700,14:05,584.8599853515625,585,P,1.16,1.1549999999999998,True,14:25,2.355,False,,,False,,,False,,TRAIL,14:42,1.46,64.43965517241381,135.3448275862069,576.748,585.24,"{'touch_bar_hhmm': '17:55', 'touch_bar_low_or_high': 586.625, 'confirmed': True, 'ema8': 586.2477863123568, 'ema21': 586.5760762493196, 'trend_ok': True}"
SPY,2026-04-06,BEARISH,1775484300,10:05,656.4400024414062,656,P,1.79,1.7850000000000001,False,,,False,,,False,,,True,12:26,STOP,12:26,0.51,-71.50837988826815,8.93854748603351,653.215,658.73,"{'touch_bar_hhmm': '13:55', 'touch_bar_low_or_high': 658.5499877929688, 'confirmed': True, 'ema8': 657.2620533218072, 'ema21': 657.2949978882154, 'trend_ok': True}"
QQQ,2026-04-06,BEARISH,1775484300,10:05,586.8049926757812,587,P,2.13,2.115,False,,,False,,,False,,,True,14:18,STOP,14:18,0.6,-71.83098591549295,26.7605633802817,584.542,589.33,"{'touch_bar_hhmm': '13:55', 'touch_bar_low_or_high': 589.6599731445312, 'confirmed': True, 'ema8': 588.1575562843734, 'ema21': 588.2330147225993, 'trend_ok': True}"
SPY,2026-04-07,BULLISH,1775577900,12:05,655.4299926757812,655,C,2.23,2.215,False,,,False,,,False,,,True,14:56,STOP,14:56,0.52,-76.68161434977578,52.91479820627802,653.91,660.37,"{'touch_bar_hhmm': '15:55', 'touch_bar_low_or_high': 653.1699829101562, 'confirmed': True, 'ema8': 653.6790209035697, 'ema21': 653.5445380974058, 'trend_ok': True}"
QQQ,2026-04-07,BULLISH,1775577900,12:05,584.0800170898438,584,C,2.09,2.08,False,,,False,,,False,,,True,14:53,STOP,14:53,0.57,-72.72727272727273,47.36842105263159,582.97,589.9,"{'touch_bar_hhmm': '15:55', 'touch_bar_low_or_high': 581.77001953125, 'confirmed': True, 'ema8': 582.1097965932254, 'ema21': 581.8301811142733, 'trend_ok': True}"
QQQ,2026-04-08,BEARISH,1775655600,09:40,606.8187255859375,607,P,2.3,2.295,True,10:57,4.88,False,,,False,,,False,,TRAIL,11:37,2.4,58.2608695652174,112.17391304347828,587.18,610.07,"{'touch_bar_hhmm': '13:30', 'touch_bar_low_or_high': 609.8800048828125, 'confirmed': True, 'ema8': 607.5430501302084, 'ema21': 607.6653386896306, 'trend_ok': True}"
SPY,2026-04-10,BULLISH,1775847900,15:05,679.5794067382812,680,C,0.34,0.335,False,,,False,,,False,,,True,15:40,STOP,15:40,0.09,-73.52941176470587,42.64705882352939,678.91,682.46,"{'touch_bar_hhmm': '18:55', 'touch_bar_low_or_high': 679.1099853515625, 'confirmed': True, 'ema8': 679.3255666238626, 'ema21': 679.3065453201846, 'trend_ok': True}"
