ticker,day,ts,time,direction,tier,spot,floor,king,regime,ratio,zgl,spot_minus_zgl,avwap_prior_low,spot_minus_avwap,pc_iv_ratio,pc_iv_ratio_z,entry,p15,p30,p60,eod,ret_15m,ret_30m,ret_60m,ret_eod,opt_strike,opt_right,opt_entry,opt_entry_t,opt_30m_bid,opt_60m_bid,opt_eod_bid,opt_30m_pnl,opt_60m_pnl,opt_eod_pnl,opt_mfe
SPY,2026-04-14,1776175560,10:06,BEARISH,A,689.595,686.0,690.0,POS,4.246732936552868,683.0,6.595000000000027,689.1464869216029,0.4485130783971272,1.6806917521972944,-0.34026870337929355,689.9751,690.97,691.25,691.025,694.4,-0.14419360930562064,-0.18477478390162005,-0.15216491145839672,-0.6413129981067467,690,P,1.26,10:06,0.6,0.53,0.01,-52.38095238095239,-57.93650793650793,-99.20634920634922,0.0
QQQ,2026-04-14,1776175800,10:10,BEARISH,A,622.3,621.0,620.0,POS,16.19628638442178,609.0,13.299999999999955,621.9437602749564,0.35623972504356516,1.5973372337880813,6.660176409708416,622.65,623.36,623.2096,623.15,628.57,-0.11402874809283148,-0.08987392596162547,-0.08030193527663876,-0.950774913675434,622,P,0.97,10:10,0.62,0.63,0.0,-36.082474226804116,-35.051546391752574,,10.880829015544059
SPX,2026-04-14,1776175560,10:06,BEARISH,A,6919.98,6850.0,6900.0,POS,3.733967700920774,6810.0,109.97999999999956,6917.774164460879,2.205835539120926,0.9543372941266941,-9.651797854797803,6923.59,6934.61,6936.79,6933.85,6967.4,-0.15916598181000552,-0.19065253719530162,-0.1481890175472511,-0.6327642162519576,6920,P,10.5,10:06,4.8,4.2,0.0,-54.28571428571429,-60.0,,0.0
SPX,2026-04-15,1776263100,10:25,BEARISH,A,6983.68,6975.0,7000.0,POS,22.10649013788413,6875.0,108.68000000000029,6980.157116032006,3.5228839679939483,1.7262588211597927,39.39907691624724,6991.1,6988.39,6991.63,6997.93,7022.9,0.03876357082576165,-0.007581067357054216,-0.0976956416014696,-0.45486404142409675,6985,P,8.8,10:25,7.6,4.9,0.0,-13.636363636363647,-44.31818181818182,,30.85714285714285
SPY,2026-04-16,1776347520,09:52,BULLISH,A,700.5522,699.0,700.0,POS,3.7459170812790537,694.0,6.552199999999971,699.6633333333333,0.8888666666666722,0.9702769196151774,-2.171064318617336,699.52,699.7,698.8899,699.87,701.55,0.025731930466621478,-0.09007605215004544,0.0500343092406208,0.29019899359561396,701,C,0.96,09:52,0.59,0.79,0.72,-38.541666666666664,-17.708333333333325,-25.0,116.75392670157069
QQQ,2026-04-16,1776347700,09:55,BULLISH,A,637.71,635.0,640.0,POS,4.854988988065133,627.0,10.710000000000036,635.7316333333333,1.978366666666716,0.7343598333548083,-1.6369912316497253,635.9699,637.27,636.59,638.226,640.41,0.2044279139625793,0.09750461460518167,0.3547494936474216,0.6981619727600252,638,C,0.91,09:55,1.11,1.82,2.12,21.97802197802199,100.0,132.967032967033,381.21546961325976
SPX,2026-04-16,1776347520,09:52,BULLISH,A,7029.24,7000.0,7050.0,POS,8.23715944504735,6900.0,129.23999999999978,7020.406666666667,8.83333333333303,1.4417460372970416,0.28445368239572494,7018.74,7021.42,7012.62,7022.34,7041.09,0.03818349162385548,-0.08719513758879138,0.05129125740517271,0.3184332230571352,7030,C,10.6,09:52,6.5,8.7,9.6,-38.67924528301887,-17.9245283018868,-9.433962264150942,123.33333333333334
QQQ,2026-04-20,1776694320,10:12,BULLISH,B,647.0301,645.0,655.0,POS,1.871824697924565,645.0,2.0300999999999476,647.2188094141737,-0.18870941417378617,0.9016271377296081,-1.4390875092994053,647.071,646.86,645.68,643.56,646.8,-0.03260847727684091,-0.21496868195299834,-0.5425988801847192,-0.0418810300569894,647,C,1.5,10:12,0.92,0.38,0.08,-38.66666666666666,-74.66666666666666,-94.66666666666667,16.053511705685608
SPX,2026-04-20,1776693420,09:57,BEARISH,A,7117.28,7100.0,7150.0,POS,3.8400379095756234,7070.0,47.279999999999745,7114.444964902573,2.835035097426953,1.0012670773825378,-0.5378544354884949,7122.15,7114.53,7116.35,7096.81,7109.17,0.10699016448684207,0.08143608320519968,0.3557914393827577,0.1822483379316564,7115,P,10.5,09:57,10.4,24.8,10.8,-0.952380952380949,136.1904761904762,2.857142857142869,205.7416267942584
SPX,2026-04-20,1776695220,10:27,BEARISH,A,7117.45,7010.0,7150.0,POS,2.043090454391824,7065.0,52.44999999999982,7116.019282247207,1.4307177527925887,1.5908223457375865,2.5346090928130116,7116.35,7103.81,7096.81,7103.75,7109.17,0.17621392989383144,0.27457896252994773,0.17705705874501154,0.10089441918961217,7115,P,10.5,10:27,24.8,18.1,10.8,136.1904761904762,72.3809523809524,2.857142857142869,205.7416267942584
