ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2026-03-25 00:00:00+00:00,35,95,10996,399.85,403.5,371.78,376.0,1233583,MU
2026-03-26 00:00:00+00:00,35,95,10996,372.12,374.16,350.0,356.47,1148847,MU
2026-03-27 00:00:00+00:00,35,95,10996,357.5,368.68,345.5,352.8,798110,MU
2026-03-30 00:00:00+00:00,35,95,10996,356.5,367.0,314.02,314.19,1854503,MU
2026-03-31 00:00:00+00:00,35,95,10996,325.65,342.12,311.5,341.0,1857074,MU
2026-04-01 00:00:00+00:00,35,95,10996,347.51,377.86,339.0,371.0,1727620,MU
2026-04-02 00:00:00+00:00,35,95,10996,354.5,366.9,340.0,365.05,999870,MU
2026-04-06 00:00:00+00:00,35,95,10996,378.52,385.035,370.8,380.0,921177,MU
2026-04-07 00:00:00+00:00,35,95,10996,379.38,407.55,364.13,401.0,754384,MU
2026-04-08 00:00:00+00:00,35,95,10996,410.66,420.02,398.93,402.0,1162874,MU
2026-04-09 00:00:00+00:00,35,95,10996,396.01,423.72,396.0,417.95,970350,MU
2026-04-10 00:00:00+00:00,35,95,10996,419.7,425.0,410.06,419.5,785522,MU
2026-04-13 00:00:00+00:00,35,95,10996,413.11,430.75,408.5,430.0,878818,MU
2026-04-14 00:00:00+00:00,35,95,10996,436.37,467.57,424.85,462.42,978252,MU
2026-04-15 00:00:00+00:00,35,95,10996,457.5,463.94,439.34,454.0,651205,MU
2026-04-16 00:00:00+00:00,35,95,10996,457.54,462.31,441.0,454.96,585841,MU
2026-04-17 00:00:00+00:00,35,95,10996,452.0,472.7,452.0,453.0,606948,MU
2026-04-20 00:00:00+00:00,35,95,10996,449.0,464.4,435.97,447.62,530123,MU
2026-04-21 00:00:00+00:00,35,95,10996,452.0,457.7,441.38,453.0,477280,MU
2026-04-22 00:00:00+00:00,35,95,10996,456.07,491.97,455.65,484.5,911171,MU
2026-04-23 00:00:00+00:00,35,95,10996,480.0,493.6,471.93,483.0,748835,MU
2026-04-24 00:00:00+00:00,35,95,10996,486.35,506.82,483.7,495.0,706056,MU
2026-04-27 00:00:00+00:00,35,95,10996,503.0,531.32,502.0,526.5,831758,MU
2026-04-28 00:00:00+00:00,35,95,10996,517.43,524.88,488.23,519.0,809949,MU
2026-04-29 00:00:00+00:00,35,95,10996,517.0,531.0,508.88,523.5,859447,MU
2026-04-30 00:00:00+00:00,35,95,10996,519.9,535.5,500.02,503.86,801967,MU
2026-05-01 00:00:00+00:00,35,95,10996,508.2,545.77,505.4,540.0,911790,MU
2026-05-04 00:00:00+00:00,35,95,10996,558.0,592.51,546.0,577.8,979394,MU
2026-05-05 00:00:00+00:00,35,95,10996,588.3,681.4,588.3,676.0,1387612,MU
2026-05-06 00:00:00+00:00,35,95,10996,678.6,685.11,627.72,659.0,1252632,MU
