setup,daytype,n,days,mean,win50
ema_cross_imm,FLAT_OPEN,216,68,16.388472222222223,0.5509259259259259
ema_cross_imm,GAP_DOWN,93,27,17.04290322580645,0.5483870967741935
ema_cross_imm,GAP_UP,90,27,12.201666666666668,0.5111111111111111
ema_cross_pullback,FLAT_OPEN,145,61,12.844137931034483,0.5103448275862069
ema_cross_pullback,GAP_DOWN,55,23,6.536727272727273,0.43636363636363634
ema_cross_pullback,GAP_UP,61,26,14.130819672131148,0.5409836065573771
failed_pdh_break,FLAT_OPEN,28,28,4.285714285714286,0.42857142857142855
failed_pdh_break,GAP_DOWN,2,2,10.0,0.5
failed_pdh_break,GAP_UP,15,15,18.0,0.6
failed_pdl_break,FLAT_OPEN,22,22,12.082727272727272,0.45454545454545453
failed_pdl_break,GAP_DOWN,15,15,7.333333333333333,0.4666666666666667
failed_pdl_break,GAP_UP,2,2,10.0,0.5
failed_pmh_break,FLAT_OPEN,35,35,16.787714285714284,0.5714285714285714
failed_pmh_break,GAP_DOWN,8,8,0.0,0.375
failed_pmh_break,GAP_UP,14,14,15.714285714285714,0.5714285714285714
failed_pml_break,FLAT_OPEN,32,32,8.9859375,0.46875
failed_pml_break,GAP_DOWN,17,17,21.764705882352942,0.6470588235294118
failed_pml_break,GAP_UP,9,9,5.555555555555555,0.4444444444444444
orb15_break,FLAT_OPEN,102,72,18.11098039215686,0.5882352941176471
orb15_break,GAP_DOWN,39,27,13.964615384615385,0.5128205128205128
orb15_break,GAP_UP,42,27,13.092857142857142,0.5238095238095238
orb15_break_vwap,FLAT_OPEN,102,72,18.11098039215686,0.5882352941176471
orb15_break_vwap,GAP_DOWN,39,27,13.964615384615385,0.5128205128205128
orb15_break_vwap,GAP_UP,42,27,13.092857142857142,0.5238095238095238
orb30_break,FLAT_OPEN,92,71,19.053478260869564,0.5978260869565217
orb30_break,GAP_DOWN,32,27,14.117812500000001,0.53125
orb30_break,GAP_UP,37,27,8.91891891891892,0.4864864864864865
orb30_break_vwap,FLAT_OPEN,92,71,19.053478260869564,0.5978260869565217
orb30_break_vwap,GAP_DOWN,32,27,14.117812500000001,0.53125
orb30_break_vwap,GAP_UP,37,27,8.91891891891892,0.4864864864864865
orb5_break,FLAT_OPEN,114,72,15.74578947368421,0.5526315789473685
orb5_break,GAP_DOWN,48,27,12.387916666666667,0.5
orb5_break,GAP_UP,45,27,14.820222222222222,0.5555555555555556
pmh_break,FLAT_OPEN,50,50,17.5948,0.58
pmh_break,GAP_DOWN,13,13,25.384615384615383,0.6923076923076923
pmh_break,GAP_UP,17,17,21.764705882352942,0.6470588235294118
pml_break,FLAT_OPEN,41,41,20.73170731707317,0.6341463414634146
pml_break,GAP_DOWN,19,19,8.244736842105263,0.42105263157894735
pml_break,GAP_UP,13,13,13.076923076923077,0.5384615384615384
sweep_pmh,FLAT_OPEN,31,31,16.451612903225808,0.5806451612903226
sweep_pmh,GAP_DOWN,6,6,23.333333333333332,0.6666666666666666
sweep_pmh,GAP_UP,12,12,23.333333333333332,0.6666666666666666
sweep_pml,FLAT_OPEN,29,29,17.458965517241378,0.5517241379310345
sweep_pml,GAP_DOWN,14,14,21.428571428571427,0.6428571428571429
sweep_pml,GAP_UP,5,5,2.0,0.4
vwap_2sd_fade,FLAT_OPEN,94,69,11.156808510638298,0.48936170212765956
vwap_2sd_fade,GAP_DOWN,41,27,16.829268292682926,0.5853658536585366
vwap_2sd_fade,GAP_UP,40,27,16.3545,0.575
vwap_lose,FLAT_OPEN,53,53,15.92811320754717,0.5660377358490566
vwap_lose,GAP_DOWN,21,21,23.333333333333332,0.6666666666666666
vwap_lose,GAP_UP,23,23,15.217391304347826,0.5652173913043478
vwap_reclaim,FLAT_OPEN,52,52,10.363653846153845,0.46153846153846156
vwap_reclaim,GAP_DOWN,23,23,20.270000000000003,0.6086956521739131
vwap_reclaim,GAP_UP,23,23,12.474347826086955,0.5217391304347826
